,movie,indication_year,number_indications,victories,percentage_victories,tmdb_id,imdb_id,budget,revenue,genres,production_countries
169,About a Boy,2003,1,0,0.0,245,tt0276751,27000000,129000000,"['Drama', 'Comedy', 'Romance']","['GB', 'US']"
170,Above and Beyond,1954,2,0,0.0,0,False,False,False,False,False
171,Absence of Malice,1982,3,0,0.0,19429,tt0081974,12000000,40716963,"['Drama', 'Romance', 'Thriller']",['US']
172,Across the Universe,2008,1,0,0.0,4688,tt0445922,0,0,"['Adventure', 'Drama', 'Music', 'Romance']",['US']
173,Action in the North Atlantic,1944,1,0,0.0,23051,tt0035608,0,0,"['Drama', 'War']",['US']
174,Adam,1993,1,0,0.0,54821,tt0101270,500000,0,"['Comedy', 'Animation', 'Romance']",['GB']
175,Adam Clayton Powell,1990,1,0,0.0,136652,tt0096761,0,0,['Documentary'],[]
176,Adam and Dog,2013,1,0,0.0,0,False,False,False,False,False
177,Adam's Rib,1951,1,0,0.0,0,False,False,False,False,False
178,Adaptation,2003,4,1,25.0,2757,tt0268126,19000000,32801173,"['Comedy', 'Crime', 'Drama']",['US']
179,Addams Family Values,1994,1,0,0.0,2758,tt0106220,75000000,48919043,"['Horror', 'Comedy', 'Family', 'Fantasy']",['US']
180,Address Unknown,1945,2,0,0.0,126759,tt0036581,0,0,['Drama'],['US']
181,Adolescence,1967,1,0,0.0,243297,tt0060069,0,0,[],['FR']
182,Adventure in the Bronx,1942,1,0,0.0,236823,tt0033316,0,0,[],[]
183,Adventures in Perception,1972,1,0,0.0,0,False,False,False,False,False
184,Adventures of Robinson Crusoe,1955,1,0,0.0,54979,tt0044386,350000,0,"['Action', 'Adventure', 'Drama']",['MX']
185,Affair in Trinidad,1953,1,0,0.0,61430,tt0044331,0,0,"['Thriller', 'Mystery', 'Romance']",['US']
186,Affliction,1999,2,1,50.0,0,False,False,False,False,False
187,"Africa, Prelude to Victory",1943,1,0,0.0,236844,tt0034434,0,0,[],[]
188,After the Axe,1983,1,0,0.0,136674,tt0083525,0,0,[],[]
189,After the Thin Man,1937,1,0,0.0,14588,tt0027260,0,0,"['Comedy', 'Crime', 'Mystery']",['US']
190,After the Wedding,2007,1,0,0.0,3549,tt0457655,0,0,['Drama'],"['DK', 'SE']"
191,Afterglow,1998,1,0,0.0,26941,tt0118566,0,2465960,"['Drama', 'Romance', 'Comedy']",['US']
192,Against All Odds,1985,1,0,0.0,22160,tt0086859,0,0,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",['US']
193,Against Wind and Tide: A Cuban Odyssey,1982,1,0,0.0,149365,tt0081988,0,0,[],[]
194,Agatha,1980,1,0,0.0,31200,tt0078736,0,0,"['Drama', 'Mystery', 'Thriller']",['GB']
195,Agee,1981,1,0,0.0,136682,tt0080337,0,0,['Documentary'],['US']
196,Agnes of God,1986,3,0,0.0,24735,tt0088683,0,0,"['Drama', 'Mystery']",['US']
197,"Agueda Martinez: Our People, Our Country",1978,1,0,0.0,243608,tt0075645,0,0,[],[]
198,Air Force,1944,4,1,25.0,15807,tt0035616,0,0,"['Action', 'Adventure', 'Drama', 'History', 'War']",['US']
199,Air Force One,1998,2,0,0.0,9772,tt0118571,85000000,315156409,"['Action', 'Thriller']","['DE', 'US']"
200,Airport,1971,10,1,10.0,10671,tt0065377,10000000,100489151,"['Action', 'Drama', 'Thriller']",['US']
201,Airport '77,1978,2,0,0.0,7227,tt0075648,6000000,30000000,"['Action', 'Adventure', 'Drama', 'Thriller']",['US']
202,Ajami,2010,1,0,0.0,24424,tt1077262,0,0,"['Crime', 'Drama']","['IL', 'DE']"
203,Aladdin,1993,5,2,40.0,0,False,False,False,False,False
204,Alaska Wilderness Lake,1972,1,0,0.0,149323,tt0066753,0,0,[],[]
205,Alaska: Spirit of the Wild,1998,1,0,0.0,0,False,False,False,False,False
206,Albert Nobbs,2012,3,0,0.0,73873,tt1602098,8000000,5634828,['Drama'],"['GB', 'IE']"
207,Albert Schweitzer,1958,1,1,100.0,114502,tt0050109,0,0,"['Documentary', 'History']",['US']
208,Alexander's Ragtime Band,1939,6,1,16.666666666666668,43839,tt0029852,2000000,4000000,"['Drama', 'Music', 'Romance']",['US']
209,Alfie,1967,5,0,0.0,15598,tt0060086,0,0,"['Comedy', 'Drama', 'Romance']",['GB']
210,Algiers,1939,4,0,0.0,22657,tt0029855,0,0,"['Drama', 'Action', 'Mystery', 'Romance']",['US']
211,Ali,2002,2,0,0.0,8489,tt0248667,107000000,87713825,['Drama'],['US']
212,Ali Baba Goes to Town,1938,1,0,0.0,106515,tt0028566,0,0,"['Comedy', 'Family', 'Fantasy']",['US']
213,Alibi,1930,2,0,0.0,13847,tt0019630,0,0,"['Action', 'Crime', 'Thriller']",['US']
214,Alibi;,1930,1,0,0.0,13847,tt0019630,0,0,"['Action', 'Crime', 'Thriller']",['US']
215,Alice,1991,1,0,0.0,8217,tt0099012,0,0,"['Comedy', 'Drama', 'Romance']",['US']
216,Alice Adams,1936,2,0,0.0,43886,tt0026056,0,0,"['Comedy', 'Drama', 'Romance']",['US']
217,Alice Doesn't Live Here Anymore,1975,3,1,33.333333333333336,16153,tt0071115,0,0,"['Drama', 'Romance']",['US']
218,Alice in Wonderland,2011,3,2,66.66666666666667,0,False,False,False,False,False
219,Alice in Wonderland,1952,1,0,0.0,12092,tt0043274,3000000,572000000,"['Animation', 'Family', 'Fantasy']",['US']
220,Alice's Restaurant,1970,1,0,0.0,5638,tt0064002,0,0,"['Drama', 'Comedy', 'Music']",['US']
221,Alien,1980,2,1,50.0,348,tt0078748,11000000,104931801,"['Horror', 'Action', 'Thriller', 'Science Fiction']","['US', 'GB']"
222,Alien 3,1993,1,0,0.0,8077,tt0103644,50000000,159773545,"['Science Fiction', 'Action', 'Horror']","['GB', 'US']"
223,Aliens,1987,7,2,28.57142857142857,679,tt0090605,18500000,183316455,"['Horror', 'Action', 'Thriller', 'Science Fiction']","['GB', 'US']"
224,Alive in the Deep,1942,1,0,0.0,236803,tt0033322,0,0,[],[]
225,All Is Lost,2014,1,0,0.0,152747,tt2017038,9000000,6108720,"['Action', 'Adventure', 'Drama']",['US']
226,All Nothing,1981,1,0,0.0,90826,tt0080351,0,0,['Animation'],['CA']
227,All Out for 'V',1943,1,0,0.0,236843,tt0034448,0,0,[],[]
228,All Quiet on the Western Front,1931,4,2,50.0,143,tt0020629,1250000,0,"['Drama', 'War']",['US']
229,All That Jazz,1980,9,4,44.444444444444436,16858,tt0078754,0,37823676,['Drama'],['US']
230,All That Money Can Buy,1942,2,1,50.0,29451,tt0033532,0,0,"['Comedy', 'Drama', 'Fantasy']",['US']
231,All Things Fair,1996,1,0,0.0,27098,tt0113720,0,0,"['War', 'Drama', 'Romance']","['SE', 'DK']"
232,"All This, and Heaven Too",1941,3,0,0.0,43807,tt0032194,0,0,"['Drama', 'Romance']",['US']
233,All about Eve,1951,14,6,42.857142857142854,705,tt0042192,1400000,63463,['Drama'],['US']
234,All about My Mother,2000,1,1,100.0,99,tt0185125,8272296,67872296,"['Comedy', 'Drama']","['ES', 'FR']"
235,All the Brothers Were Valiant,1954,1,0,0.0,91419,tt0045494,0,0,['Adventure'],['US']
236,All the King's Men,1950,7,3,42.857142857142854,25430,tt0041113,0,0,['Drama'],['US']
237,All the President's Men,1977,8,4,50.0,891,tt0074119,8500000,70600000,"['Drama', 'History', 'Mystery', 'Thriller']",['US']
238,All-American Co-Ed,1942,2,0,0.0,96139,tt0033323,0,0,['Comedy'],['US']
